Station_ID,Station_Name,Station_City,Station_Lattitude,Station_Longitude,Station_Gas_Price,Station_Premium_Price,Station_Diesel_Price
185,Phillips 66,Aguadilla,18.4780449,-67.1511462,91.7,92.7,78.7
186,Gulf Aguadilla Progreso,Aguadilla,18.4220419,-67.1540859,91.7,92.7,78.7
187,American Gasoline Aguadilla #2,Aguadilla,18.4583506,-67.1498487,92.7,92.7,78.7
188,Texaco Gas 110,Aguadilla,18.5036349,-67.1160696,93.7,92.7,78.7
189,American Gasoline Aguadilla #1,Aguadilla,18.4711313,-67.1231654,92.7,92.7,78.7
190,Puma Gas Station,Aguadilla,18.4780312,-67.1511502,92.7,92.7,78.7
191,Gulf,Aguadilla,18.487984,-67.0992371,91.7,92.7,78.7
192,Mobil - Gas Station,Yauco,18.0195944,-66.8421291,92.7,92.7,78.7
193,Ecomaxx Gas Station,Guayanilla,18.0339135,-66.8014646,93.7,92.7,78.7
194,GULF-ESDRAS Full Self Service Station,Ponce,18.0225296,-66.640631,91.7,92.7,78.7
195,Cabo Rojo Gas,Yauco,18.0241326,-66.8791561,-1,92.7,78.7
196,Puma Gas Station - Gasolinera Puma,Ponce,18.0101928,-66.624178,92.7,92.7,78.7
197,Puma Gas Station - Gasolinera Puma,Ponce,18.0037928,-66.6207746,92.7,92.7,78.7
198,Mobil - Gas Station,Sabana Grande,18.0767392,-66.9604277,92.7,92.7,78.7
199,Juliancito Gas Services,Yauco,18.0306829,-66.8349053,-1,92.7,78.7
200,Liquilux Playa Ponce,Ponce,17.9718516,-66.6136925,-1,92.7,78.7
201,Empire Gas Rio Chiquito,Ponce,18.0464604,-66.610335,-1,92.7,78.7
202,Mobil - Gas Station,Jayuya,18.2147536,-66.6168548,92.7,92.7,78.7
203,Peerless Oil & Chemicals,Peñuelas,18.0319086,-66.7340635,-1,92.7,78.7
204,Gas Station,San Sebastián,18.312821,-66.9264408,-1,92.7,78.7
205,Gulf Charlie Gas Station,Lares,18.3159066,-66.878152,91.7,92.7,78.7
206,Shell,Utuado,18.268405,-66.7115891,93.7,92.7,78.7
207,Octavio Gas,Utuado,18.2666887,-66.7033128,-1,92.7,78.7
208,Empire Gas Peñuelas,Peñuelas,18.0013918,-66.7247313,-1,92.7,78.7
209,Gas Station,Jayuya,18.2075985,-66.560429,-1,92.7,78.7
210,EcoEléctrica Natural Gas Power Plant,Peñuelas,17.9809875,-66.7553284,-1,92.7,78.7
211,maXXan,Guayanilla,18.0612729,-66.7813015,-1,92.7,78.7
212,Gulf,Jayuya,18.2182072,-66.5942385,91.7,92.7,78.7
213,Puma | Plaza del Caribe,Ponce,17.9909927,-66.6098144,92.7,92.7,78.7
214,Liquilux Guayanilla,Guayanilla,18.0340391,-66.8120255,-1,92.7,78.7
215,Utuado Gas Station,Utuado,18.265264,-66.6954988,-1,92.7,78.7
216,Ecomaxx La Colectiva,Guayanilla,18.0494422,-66.7806765,93.7,92.7,78.7
217,Mobil - Gas Station,Adjuntas,18.1669003,-66.7300311,92.7,92.7,78.7
218,TotalEnergies Muñoz Rivera 702,Peñuelas,18.0581394,-66.7221822,93.7,92.7,78.7
219,Brothers Gas Station,Jayuya,18.1589633,-66.6493475,-1,92.7,78.7
220,PSS,Yauco,18.0485451,-66.8644539,-1,92.7,78.7
221,Ecomaxx,Yauco,18.0348871,-66.8737686,93.7,92.7,78.7
222,Puma Gas Station - Gasolinera Puma,Ponce,18.0163477,-66.6121212,92.7,92.7,78.7
223,Mobil - Gas Station,Ponce,17.997254,-66.6307047,92.7,92.7,78.7
224,Cabo Rojo Gas,Guayanilla,18.0177814,-66.7911148,-1,92.7,78.7
225,Ulta Top Fuel Gas Station,Yauco,18.0404658,-66.8609245,92.7,92.7,78.7
226,Gulf Gas Station,Adjuntas,18.1634194,-66.7273061,91.7,92.7,78.7
227,Puma Gas Station - Gasolinera Puma,Ponce,18.006906,-66.6008073,92.7,92.7,78.7
228,TotalEnergies Calle Luna,Sabana Grande,18.0797255,-66.9734328,93.7,92.7,78.7
229,Sam's Club Gas Station,Ponce,17.995561,-66.629432,-1,92.7,78.7
230,ECOMAXX,Ponce,18.0204059,-66.6408056,93.7,92.7,78.7
231,TotalEnergies Adolfo Grana,Peñuelas,18.0527482,-66.7213664,93.7,92.7,78.7
232,PUMA 600 Caobos Gas Station Ponce PR,Ponce,18.0053188,-66.5854348,92.7,92.7,78.7
233,Mobil - Gas Station,Ponce,18.0106419,-66.6144396,92.7,92.7,78.7
234,Gulf,Ponce,18.0138844,-66.6178399,91.7,92.7,78.7
235,TotalEnergies Las Delicias,Ponce,18.0316645,-66.6416656,93.7,92.7,78.7
236,Mobil - Gas Station,Sabana Grande,18.0696447,-66.9585865,92.7,92.7,78.7
237,Mobil - Gas Station,Ponce,18.0115913,-66.6333354,92.7,92.7,78.7
238,Texaco 622,Sabana Grande,18.0787732,-66.9665354,93.7,92.7,78.7
239,Mobil - Gas Station,Peñuelas,18.0514398,-66.7210847,92.7,92.7,78.7
240,Gulf | Hernández Service Station,Ponce,17.9989731,-66.6272277,91.7,92.7,78.7
241,Peerless Oil & Chemicals Inc,Peñuelas,17.9944608,-66.7414887,-1,92.7,78.7
242,TotalEnergies El Cafetal,Yauco,18.0401416,-66.8583777,93.7,92.7,78.7
243,E L Service Station,Ponce,18.026886,-66.6586775,-1,92.7,78.7
244,Mobil - Gas Station,Ponce,17.9985169,-66.6337309,92.7,92.7,78.7
245,Puma,Sabana Grande,18.044012,-66.9502383,92.7,92.7,78.7
